Age,Income,Employment_Years,Education_Level,Credit_Score,Loan_Purpose,Loan_Amount,Loan_Term_Days,Number_of_Open_Accounts,Outstanding Debt,DTI,Credit_Worthy
56,620600,12.04,3,809,1,16938,195,4,12325,1.99,1
46,881756,23.36,3,729,3,17401,258,4,724,0.08,1
32,615484,10.55,1,406,1,23207,278,14,58324,9.48,0
60,614302,5.56,3,740,3,57457,70,14,73812,12.02,1
25,421426,5.57,3,783,1,88261,359,9,13406,3.18,1
38,686282,26.25,3,770,3,55311,360,10,1366,0.2,1
56,449505,33.06,4,762,2,66125,36,7,57894,12.88,1
36,542313,14.47,2,394,2,66620,108,3,46428,8.56,0
40,53340,1.56,2,584,3,17444,24,13,27339,51.25,0
28,321994,5.73,1,506,1,57302,140,9,69390,21.55,0
28,994488,41.16,4,776,3,15059,22,13,4683,0.47,1
41,516915,22.21,4,871,1,38851,339,5,71497,13.83,1
53,657999,20.41,3,778,3,1969,329,4,24728,3.76,1
57,759538,1.71,2,549,3,44364,204,1,24074,3.17,0
41,31094,32.79,1,517,2,30368,224,9,19883,63.94,0
20,894391,23.76,4,782,1,84664,223,6,48233,5.39,1
39,970922,9.09,3,756,1,39706,81,11,59557,6.13,1
19,812173,4.95,1,446,1,13650,330,2,52138,6.42,0
41,655873,17.25,4,716,1,5802,191,13,45055,6.87,1
61,485590,37.67,1,667,1,78663,286,7,67104,13.82,1
47,530491,38.94,4,896,2,61845,147,3,24788,4.67,1
55,404708,27.13,1,488,3,98379,282,6,62182,15.36,0
19,88798,32.74,4,831,1,24559,11,8,26756,30.13,1
38,922458,5.18,4,849,1,56882,276,3,36960,4.01,1
50,221604,26.47,1,501,3,87922,56,13,37904,17.1,0
29,130130,30.01,4,512,2,6132,173,12,59047,45.38,0
39,828596,9.03,4,705,2,1925,303,12,39520,4.77,1
61,710955,39.61,4,857,2,77190,204,5,11673,1.64,1
42,50257,8.77,1,648,3,48201,345,14,7175,14.28,1
44,427427,14.11,1,374,3,60209,248,6,18104,4.24,0
59,902421,27.93,4,838,2,12570,314,1,8062,0.89,1
45,942736,28.73,4,747,2,3870,266,10,13266,1.41,1
33,72691,31.47,1,345,3,27368,22,7,39041,53.71,0
32,624056,5.04,3,854,2,129,327,4,17994,2.88,1
64,438829,38.23,4,846,1,30183,24,10,58220,13.27,1
61,558314,23.98,3,785,3,9058,194,11,72251,12.94,1
20,991039,21.21,1,647,2,8906,96,7,37878,3.82,1
54,769450,44.15,4,758,1,32262,263,7,16021,2.08,1
24,313052,33.32,3,823,3,74832,72,11,34822,11.12,1
38,989617,5.31,1,528,3,34989,243,5,73300,7.41,0
